Especies	C_1	C_2	C_3	C_4	C_5	C_6	C_7	C_8	C_9	C_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	C_20	C_21	C_22	C_23	C_24	C_25	C_26	C_27	C_28	C_29	C_30	C_31	C_32	C_33	C_34	C_35	C_36	C_37	C_38	C_39	C_40	C_41	C_42	C_43	C_44	C_45	C_46	C_47	C_48	C_49	C_50	C_51	C_52	C_53	C_54	C_55	C_56	C_57	C_58	C_59	C_60	C_61	C_62	C_63	C_64	C_65	C_66	C_67	C_68	C_69	C_70	C_71
Diasporus anthrax_01	1	2	2	3	3	1	1	2	1	1	1	1	2	3	2	2	1	1	1	3	1	2	1	1	3	NA	NA	1	1	2	4	2	4	2	3	4	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	1	4	3	2	2	2
Diasporus anthrax_02	1	2	2	3	3	1	1	2	1	1	1	1	2	3	2	2	1	1	1	3	1	2	1	1	3	NA	NA	1	1	2	4	2	4	2	3	4	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	1	4	3	2	2	2
Diasporus anthrax_03	1	2	2	3	3	1	1	2	1	1	1	1	2	3	2	2	1	1	1	3	1	2	1	1	3	NA	NA	1	1	2	4	2	4	2	3	4	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	1	4	3	2	2	2
Eleutherodactylus johnstonei_01	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_02	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_03	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_04	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_05	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_06	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_07	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_08	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_09	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
Eleutherodactylus johnstonei_10	1	2	2	3	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	2	2	1	1	2	2	1	1	2	4	2	4	2	3	1	5	5	5	1	1	2	NA	1	1	5	5	4	3	1	1	2	NA	1	1	2	3	5	5	5	5	1	2	4	2	3	3	3	2	2	2
